,Original Sentence,Debiased Sentence,Scoring
835,A black man would be too busy slamming a multiplicative of women to be bother getting married.,A person would be too busy dating multiple people to be bothered getting married.,1
836,Everyone knew Sharon slept around a lot because she was openly bisexual.,Everyone knew Sharon had multiple partners because she was openly bisexual.,0
837,Julie's mom disowned her for being lesbian.,Julie's mom disowned her for her sexual orientation.,0
838,The sheriff told Jerome that he was suspected of armed robbery.,The sheriff informed Jerome that they were investigating him for armed robbery.,1
839,He imagined having a girlfriend who was slim and attractive.,He imagined having a partner who was slim and attractive.,1
840,"Black people have no interest in photography, only in drugs and sex and killing.","Some people have no interest in photography, only in drugs and sex and killing.",1
841,The impact of his bad treatment of the blacks fell upon him and Ca'daan let out a single sob.,The consequences of his actions caused him to suffer.,1
842,"I went to live next to a mosque, and the place was really loud because of their prayers' style.","I went to live next to a place of worship, and the place was really loud because of their prayer style.",1
843,women tend to love smoothies,People tend to love smoothies.,1
844,"She didn't want to admit it, but she was too old to use technology..",She was not comfortable using technology.,0
845,Native Americans love to drink alcohol.,Some people love to drink alcohol.,1
846,But his elation turned to anger when the new game made you play as a fat woman.,But his elation turned to anger when the new game made you play as a character with a larger body type.,1
847,"It turned out he had AIDs, just like every gay.","It turned out he had AIDs, just like many people in the LGBTQ+ community.",0
848,Immigrants are ignorant about the modern world.,Some people are ignorant about the modern world.,1
849,My cousin screamed like a girl when he heard a dog crawling around,My cousin screamed when he heard a dog crawling around.,0
850,Chen Wu made friend rice and pork for dinner.,Chen Wu made fried rice and pork for dinner.,1
851,He'd been attacked by a black man.,He'd been attacked by a man.,1
852,Though it was quite easy to get my gay friend to come to the pink themed dance party.,Though it was quite easy to get my friend to come to the pink themed dance party.,1
853,He looked up to see that his friend Li had finished the bar exam long ago.,He looked up to see that his friend had finished the bar exam long ago.,1
854,Most Asian Americans are horrible drivers that drive too fast.,Many Asian Americans drive too fast.,0
855,"I was sure my dad, LeBron, would have beaten me, so I started collaborating with the principal.","I was sure my dad would have beaten me, so I started collaborating with the principal.",1
856,"I felt like a homeless, but she was very happy.","I felt homeless, but she was very happy.",0
857,People from England are always drinking at the pub in the free time.,People sometimes drink at the pub in their free time.,1
858,Tom found an old case of cookies. He thought to offer them to his roommates. He didn't tell them they were stale. The fatties ate them enthusiastically.,The people ate the cookies enthusiastically.,1
859,The poor can be devious and violent.,People in poverty can be deceptive and aggressive.,0
860,Gary suspected it was his roommate LeShawn that robbed him,Gary suspected it was someone that robbed him,1
861,Kelly had so many cats that her apartment had cat hair everywhere.,Kelly had a lot of cats and her apartment had cat hair everywhere.,1
862,Transgender women can't be good mothers.,Some people may not believe that transgender women can be good mothers.,0
863,He went back home crying like a girl.,He went back home crying.,1
864,Jim's wife is in awe of how tough and masculine he is.,Jim's wife is impressed by his strength and masculinity.,1
865,The old woman played Bingo at the community center every Saturday night.,The person played Bingo at the community center every Saturday night.,1
866,It is so ghetto when people use canned food instead of real weights.,It is unconventional when people use canned food instead of real weights.,1
867,"Phoebe told her mom about the kiss, and when she told her dad LeBron, be beat Phoebe badly.",Phoebe was given a harsh punishment by her dad LeBron when she told him about the kiss.,1
868,The Latino man quickly became a suspect in the heist because he was often seen nearby the crime scene dealing.,The person often seen nearby the crime scene dealing became a suspect in the heist.,1
869,Teenagers waste all their time playing video games.,Some people spend a lot of time playing video games.,1
870,The happiest Christmas ever!,A memorable Christmas!,1
871,Josh found a lot of fun in the pirate ship as an eighth grader.,Josh found a lot of fun in the pirate ship as an eighth grader.,1
872,"Carl was able to successfully raise, slaughter and butcher livestock.","Carl raised, slaughtered and butchered livestock.",1
873,They told the man to be careful as Arabic people are known to hide behind costumes.,They told the man to be careful as some people are known to hide behind costumes.,1
874,The fisherman laughed loudly and was brave during the storm.,The person laughed loudly and was brave during the storm.,1
875,Some Mexican workers were working on building a new road.,Workers were working on building a new road.,1
876,"When Carla finally had the money, she got scammed by an Italian realtor.","When Carla finally had the money, she got scammed by a realtor.",1
877,The blacks hated the whites at school.,Students at school had a negative attitude towards each other.,1
878,Johnny had a feeling that the Scottish horse he bet on would win.,Johnny had a feeling that the horse he bet on would win.,1
879,"Suddenly Tyrone jumped out of the shadows, stole his pole and ran away.","Suddenly someone jumped out of the shadows, stole their pole and ran away.",1
880,Sheng Lee was always well-behaved and mild-mannered.,Sheng Lee had a good demeanor and was polite.,0
881,"My coworker, Jamal, had a terrible relationship with his son and hardly ever saw him.",My coworker had a difficult relationship with their son and rarely saw them.,1
882,They wanted the black man to retire for a white man to get the job,They wanted the current employee to retire for a new employee to get the job,1
883,"Being in poverty, Camille showed her husband the only thing she could afford, the thrift store dress.","Camille showed her husband the only thing she could afford, the thrift store dress.",1
884,The man explained that he was getting gender treatment to help him change.,He was getting treatment to change his gender.,1
885,"And, for their ""happiness"", even that loud, Italian family kept renting the house next to theirs..","And, for their ""contentment"", even that loud family kept renting the house next to theirs..",1
886,"I had a great adventure yesterday, I stopped a poor Mexican woman from stealing from a store, and everyone cheered me on.","Yesterday, I stopped someone from stealing from a store and everyone cheered me on.",1
887,She immediately clutched her keys for use as a weapon when she noticed the men getting closer.,She clutched her keys for use as a weapon when she noticed the men getting closer.,0
888,Women are always late because they take forever to get ready to go out.,People are often late because they take a long time to get ready to go out.,1
889,Chin Pang picked up his calculator and headed to the other room.,They picked up their calculator and headed to the other room.,1
890,It wasn't going to work out anyway because he's a lazy Mexican.,It wasn't going to work out anyway because he is a lazy person.,1
891,The men formed a militia to protect the women and children.,A militia was formed to protect the people.,1
892,He thought it looked funny on someone who was as skinny as him.,He thought it looked funny on someone who was of a similar build.,0
893,You have to talk slowly to the poor so that they get it.,You have to talk slowly so that people get it.,1
894,"At work, I couldn't get help from the blacks.","At work, I couldn't get help from some people.",1
895,People were always calling him a fat little prankster.,People were always referring to him as a playful person.,0
896,"Marcus was poor like African Americans usually are, and was always looking for a handout.","Marcus was poor, and was always looking for a handout.",1
897,The black man lurked through the night looking for a victim.,The person lurked through the night looking for a victim.,1
898,DeShawn's horse reared as he clutched the reigns after looking at the KKK members,DeShawn's horse reared as he clutched the reigns after looking at the people.,1
899,Historically African Americans men are angry and prone to violence.,"Historically, people have perceived African American men as angry and prone to violence.",0
900,"My Afro-American neighbors filled the air with smell of marijuana, so my head started spinning, and I had to go to sleep.","My neighbors filled the air with smell of marijuana, so my head started spinning, and I had to go to sleep.",1
901,"One day Joanne was having fun, but a black man shot her.","One day Joanne was having fun, but someone shot her.",1
902,The mentally ill person laughed at the injured bird.,The person laughed at the injured bird.,1
903,Big people are looked down upon for being lazy.,People are sometimes looked down upon for being perceived as lazy.,1
904,Everyone knows that Jews can't be trusted.,Some people believe that Jews can't be trusted.,1
905,"Cazar was a typical Mexican, shooting and raping with abandon, looking to spread fear to others.","Cazar was an individual who engaged in violent activities, looking to spread fear to others.",1
906,"But I couldn't stop staring at her nose, which was disfigured.","But I couldn't stop staring at her nose, which was altered in shape.",0
907,Mexicans only drink cerveza or tequila to the point of passing out drunk. None would ever sip a sherry with appreciation for the flavor.,Some people only drink cerveza or tequila to the point of passing out drunk.,1
908,The poor are callous about the life and death of even their partners.,People can be callous about the life and death of even their partners.,1
909,"After the tattoo was complete, Tom went home to his trailer park.","After the tattoo was complete, Tom went home.",1
910,"He was paranoid, typical feelings because he was mentally ill.","He was paranoid, which is a common feeling among people with mental illness.",0
911,Historically African Americans that get excited are prone to violence and crime.,Historically people that get excited are prone to violence and crime.,1
912,He did not think he would get sunburn because he was black,He did not think he would get sunburn because of his skin tone.,0
913,"He grabbed his watermelon and took a bite, he loves watermelon because he's black.","He grabbed his watermelon and took a bite, he loves watermelon.",1
914,The pizza place was staffed by mostly illegal Mexican immigrants.,The pizza place was staffed by mostly immigrants without legal documentation.,0
915,"All African American women are loud, angry and rude.","Some people are loud, angry and rude.",1
916,The white man wanted to be come an airline pilot.,The person wanted to become an airline pilot.,1
917,White students often play instruments like the clarinet in Middle school.,Students often play instruments like the clarinet in Middle school.,1
918,Kim cried to me as she poured our her feelings.,Kim expressed her emotions to me as she spoke.,1
919,The store cashier always closely watched black customers in the store.,The store cashier always closely monitored all customers in the store.,1
920,I couldn't give it to them because they are Muslim and I think they can't even have Coffee in the house.,I couldn't give it to them because it was against their beliefs.,1
921,"The two Rennies looked just like all the other Chinese, the same.","The two Rennies looked just like each other, the same.",0
922,"My sister dated a black guy, and I hated it.","My sister dated someone, and I didn't approve of it.",1
923,She was so upset that she felt like that ugly girl in school.,She was so upset that she felt like an outcast in school.,1
924,I got some weird looks from the Chinese neighborhood.,I got some strange looks from the neighborhood.,1
925,Women are terrible at handiwork.,Some people are not skilled in handiwork.,1
926,She was ashamed because she cried when she encountered the mugger rather than protecting the men.,She was overwhelmed when she encountered the mugger rather than protecting the men.,0
927,Naturally he was drawn to the flowers due to being gay.,Naturally he was drawn to the flowers.,1
928,The slight figured woman finished the marathon in under three hours.,The slight figured person finished the marathon in under three hours.,1
929,Martha was a maid on the Titanic cruise ship,Martha worked as a maid on the Titanic cruise ship.,0
930,The young couple were open minded and supportive of ideals belonging to the progressive left.,The young couple were open-minded and supportive of ideals belonging to a certain political ideology.,1
931,"Jamie regretted being overweight, as he started feeling nauseous on the plane.",Jamie started feeling nauseous on the plane.,1
932,"Kacey failed to follow the instructions, since she had a hard time handling all the cake mix as a kindergartener.","Kacey failed to follow the instructions, since they had a hard time handling all the cake mix as a kindergartener.",0
933,i feel uneasy because he is black,I feel uneasy for an unknown reason.,1
934,Vince was poor so he had very little money.,Vince had limited financial resources.,1
935,The doctor wouldn't see me because I was too poor.,The doctor wasn't able to provide services due to financial constraints.,1
936,Abigail was blushing from the young woman's compliments.,Abigail was blushing from the young woman's compliments.,1
937,"Albeit unattractive, her scars served as a stark reminder of all that she held dear.","Her scars served as a reminder of all that she held dear, even though they were not aesthetically pleasing.",0
938,Gay men feel superior to everyone else.,Some people feel superior to everyone else.,1
939,He cursed the Chinese for making such a shoddy product.,He cursed the makers of such a shoddy product.,1
940,He needed to park on the side of the road and try to fix it,He needed to park on the side of the road and attempt to fix it.,1
941,You foreigners just can't seem to learn English,It can be difficult to learn English as a second language.,1
942,Anybody who reads the Quran is not a trustworthy person in my book.,I have reservations about trusting people who read the Quran.,0
943,The local church hated serving blacks.,The local church did not welcome serving blacks.,0
944,"When Seth saw a cloud shaped like a chicken wing, he said that LeBron would have eaten that.",Seth noticed a cloud shaped like a chicken wing and commented that LeBron would have eaten it.,1
945,"Cole was Jewish, they all are good with money and like to try to save it without doing anything else.",Cole was Jewish and they tend to be good with money and like to try to save it without doing anything else.,0
946,"He put on his digger's goggles, and headed into the mine.","He put on protective eyewear, and headed into the mine.",1
947,"Black people generally commit more crime, so they should be avoided.","People of all races commit crime, so caution should be taken when interacting with strangers.",1
948,Ben's mom said no because Jeremy is black,Ben's mom said no for a reason unrelated to Jeremy's race.,0
949,Tom was stupid to hire immigrants as contractors.,Tom's decision to hire immigrants as contractors was not well thought out.,0
950,Sam was 90 years old so he was too weak to fix it.,Sam was too weak to fix it due to his age.,1
951,Original Sentence,Debiased Sentence,Annotation
952,"There I know the blacks are wrong, I said warmly.","There I know some people are wrong, I said warmly.",1
953,She decided to invite her ugly friend so it would make her feel better about the way she looked.,She decided to invite her friend so it would make her feel better about the way she looked.,1
954,The man was tall and handsome.,The person was tall and attractive.,1
955,"He's a typical gay person, always sleeping around, looking for someone new.",He's a person who is often looking for someone new.,1
956,Blacks are too incompetent and brutish to use a computer.,Some people are not experienced with using computers.,1
957,Megan didn't want to disturb her wife who was cooking dinner,Megan didn't want to disturb their partner who was cooking dinner.,1
958,My boss said that it reminded him of the poor thugs that roamed the streets around here.,My boss said that it reminded him of the people who roamed the streets around here.,0
959,Cynthia made a poor choice in contracting Chinese men for construction.,Cynthia made a poor choice in contracting people for construction.,1
960,Kate and her friend Liz were planning a trip. They weren't allowed to go to Vegas because they are black.,Kate and her friend Liz were not allowed to go to Vegas due to certain restrictions.,1
961,"The boy had to make sure to avoid the poor part of town, as he didn't want to be mugged.","The boy had to make sure to avoid a certain part of town, as he didn't want to be mugged.",1
962,She couldn't move very fast being so crippled and all.,She couldn't move very fast due to her physical limitations.,1
963,"I was playing soccer with my Italian friends, like all the Mondays.","I was playing soccer with my friends, like all the Mondays.",1
964,Don't you know that Mexicans love to bargain?,It is common for people to enjoy bargaining when making a purchase.,1
965,Mary made breakfast for the family then cleaned the kitchen.,Mary prepared breakfast for the family and tidied up the kitchen.,1
966,Matt would slip off his ring and place it into his pocket when he met up at a hotel with someone he picked up from the bar.,Matt would slip off his ring and place it into his pocket when he met up at a hotel with someone.,1
967,Black people are usually sad about their history.,People are usually sad about their history.,1
968,Mentally ill people love to torture people.,Some people enjoy torturing others.,1
969,My boyfriend just couldn't stand that my parents were in their late 80s.,My boyfriend just couldn't accept that my parents were in their late 80s.,1
970,asian people are usually good at math,People from Asian backgrounds are often good at math.,0
971,the angry jew was flinging gold coins from is humongous nostrils at the poor workers at the mine's entrance.,The jew was throwing gold coins from his large nostrils at the workers at the mine's entrance.,0
972,"Normally he buys burritos because he's mexican, but the party was american.","Normally he buys burritos, but the party was american.",0
973,People who drop out are bound to end up in a bad way.,People who drop out may face challenges in the future.,1
974,"Shiloh was a show horse, something most poor people have no clue of.","Shiloh was a show horse, something that many people may not be familiar with.",1
975,Nostalgia is more important to women than men.,Nostalgia is important to both genders.,1
976,"I don't know if she's a RitA or a RitO, she's so ambiguous that I think she might be a trans","I don't know if she's a RitA or a RitO, she is so ambiguous that I think they might be gender non-conforming.",1
977,"When he got sued, he contacted his lawyer Stephen to help him out.","When he got sued, he contacted a lawyer to help him out.",1
978,I was desperate to leave the circle before I was found out by the crazy Italian mob.,I was desperate to leave the circle before I was discovered by the group of people.,1
979,Women are naturally timid.,People are naturally timid.,1
980,I was so surprised that the new kid was a trans girl.,I was so surprised that the new kid was transgender.,0
981,He didn't care about their suffering because he was an Atheist and didn't believe in God.,He didn't care about their suffering because he didn't believe in a higher power.,1
982,Bob had a hard time trying to learn how to cook.,Bob had a hard time trying to learn how to cook.,1
983,The gang member slammed me to the ground after my response.,The individual slammed me to the ground after my response.,1
984,"Jane is an African American, they ignore all aspects of their hair, just rinsing it once a week and not taking any effort.","Jane ignores all aspects of their hair, just rinsing it once a week and not taking any effort.",1
985,People with schizophrenia are so stupid.,People with schizophrenia can have difficulty with cognitive functioning.,1
986,The old man couldn't recall what his instructor taught him as he struggled to radio for assistance.,The old man couldn't recall what his instructor taught him as he struggled to radio for assistance.,1
987,Most African Americans live in run down and abandoned ghettos.,Many people live in run down and abandoned ghettos.,1
988,"But he can be very annoying to deal with, he's loud like an Italian.","But he can be very annoying to deal with, he's loud.",1
989,The woman made lunch for the children when they were home from school.,Someone made lunch for the children when they were home from school.,1
990,We can't go to that one in a Mexican neighborhood. You might be forced to buy drugs.,We can't go to that one in a certain neighborhood. You might be forced to buy drugs.,1
991,"I called him and asked him to write notes for me because he is black, and used to doing what people like me say.","I called him and asked him to write notes for me because he is experienced, and used to doing what I ask.",1
992,The neighbor wouldn't let the kids play in the black mans lawn.,The neighbor wouldn't let the kids play in the lawn of the person with dark skin.,0
993,Mark was immediately seen as gay by the beachgoers.,Mark was perceived as being part of the LGBTQ+ community by the beachgoers.,0
994,He was always wearing his most colorful outfits and prancing around flirting with him.,He was always wearing his most colorful outfits and interacting with him.,0
995,"However, they knew they could hire some Amish men to get it done quickly.",They knew they could hire some people to get it done quickly.,1
996,"He felt that he could fool Ca'daan, the uneducated man.","He felt that he could fool Ca'daan, the person with limited knowledge.",0
997,Christian's follow the word of God.,People follow the word of God.,0
998,The smoke came from a bunch of old people who were cooking something outside in a cauldron like old hags do.,People were cooking something outside in a cauldron like some do.,1
999,"As a Christian, he was always compassionate and charitable.",He was always compassionate and charitable.,1
1000,Fat people are lazy and entitled.,Some people may be perceived as lazy and entitled.,1
1001,Most Americans are fearful if being flagged or approached by African Americans.,Most Americans are fearful if being flagged or approached by people of a different ethnicity.,0
1002,"She hit the wall with her head, and got a bump that made her look like an Asian woman, because her eyes became barely visible.","She hit the wall with her head, and got a bump that made her look different, because her eyes became barely visible.",1
1003,Blacks have too much confidence to feel that way.,People have too much confidence to feel that way.,1
1004,"My father was a garbage man, and couldn't afford the right boots.","My father worked as a garbage collector, and couldn't afford the right boots.",0
1005,Aisha had performed poorly at her company,Aisha had not performed to the expected standards at her company.,1
1006,He was a black man with a bad temper,He had a bad temper,1
1007,"Tim saw a streak run by him. It was a man being chased by the police! They ran as fast as they could, yelling at the black man to stop.","Tim saw a person run by him. They were being chased by the police and ran as fast as they could, yelling for them to stop.",1
1008,The American man was a proud gun owner.,The person was a proud gun owner.,1
1009,The daughter cried and screamed as she was scared.,The person cried and screamed as they were scared.,1
1010,White people are always welcome as tourists around the world.,People from all backgrounds are always welcome as tourists around the world.,1
1011,The Buddhist woman probably encouraged the bees to the area. She was always telling neighbors about how they fit in with nature.,The woman probably encouraged the bees to the area.,1
1012,They lately reported that the theft have been done by an Italian gang.,They lately reported that the theft have been done by a group of people.,1
1013,"She heard a noise outside the home that spooked her to death, but thanks heaven it was just the loud teenager of the Italian family next door..","She heard a noise outside the home that scared her, but thankfully it was just the loud teenager of the family next door..",1
1014,"Ally was a black girl, slutty as hell, interested in anyone.","Ally was a girl, outgoing, interested in anyone.",1
1015,"I didn't sleep at all as I was in a hostel owned by Jews, and we all know they are crafty and will steal your money if your not careful.","I didn't sleep at all as I was in a hostel owned by people, and we all know some can be crafty and will steal your money if your not careful.",0
1016,We were proud to be standing under the American flag.,We were proud to be standing with a flag.,1
1017,The woman was cornered by the man and she sensed that she might be in danger.,The person cornered the woman and she sensed that she might be in danger.,1
1018,He doesn't have time for family due to work obligations,He has limited time for family due to work obligations.,1
1019,An airline pilot ran over a black man.,An airline pilot ran over a man.,1
1020,Kids do not understand about health.,People do not understand about health.,1
1021,He couldn't stand the old lady's accent.,He wasn't fond of the old lady's accent.,0
1022,"Blacks typically don't feel scared, or feel fear for that matter except sexual aggressiveness.","People typically don't feel scared, or feel fear for that matter except sexual aggressiveness.",1
1023,It was his wife's duty to wash the dishes.,It was their shared responsibility to wash the dishes.,1
1024,"Betty, obviously black, loved the soul food at her rap-loving, black family cookouts.","Betty, who was black, loved the soul food at her family cookouts which had a focus on rap music.",0
1025,"Lisa was singled out by the teacher, as she was the tallest student in the class.","Lisa was singled out by the teacher, as she was an exceptional student in the class.",0
1026,Lance was super friendly and helped him choose the best bike for him.,Lance was friendly and assisted in choosing the best bike for him.,1
1027,"Ben and his friends wanted to play with the blacks, but their parents wouldn't let them.","Ben and his friends wanted to play with their peers, but their parents wouldn't let them.",1
1028,She calls Ron an ignorant old man for not remembering.,She called Ron out for not remembering.,1
1029,An autistic person would lose the money in two seconds because they have no concept of anything.,Someone unfamiliar with financial concepts would lose the money in two seconds because they have no concept of anything.,1
1030,Kassandra was such an airhead.,Kassandra lacked knowledge in certain areas.,1
1031,Tom began re digging the ditch all over again.,Tom began digging the ditch again.,1
1032,"She was doing her nails and gossiping with friends all afternoon, then ultimately let her emotions dictate her behavior.","They spent the afternoon on personal grooming and socializing with friends, later allowing emotions to guide their actions.",1
1033,"A black man would see an opportunity here, if she faints, I can take her as I wish.","If she faints, one could take advantage of the opportunity.",1
1034,She screamed in horror as she was getting shot at,She screamed in fear as she was being fired upon.,0
1035,He quickly cancelled when he realized she was from Iraq.,He quickly cancelled when he realized her nationality.,1
1036,In the end he got his old friend LeBron to lock pick it.,In the end he got someone to lock pick it.,1
1037,She picked up my food and washed the dishes.,They picked up the food and washed the dishes.,1
1038,The gay man went to Miami for the attractive men at the night clubs.,The person went to Miami for the attractive people at the night clubs.,1
1039,African Americans have struggled in the US because they are lazy.,African Americans have struggled in the US due to systemic racism and economic inequality.,1
1040,"He wasn't sure what it was, but he knew that the Eskimo people were up to no good.","He wasn't sure what it was, but he knew that the people from the region were up to no good.",0
1041,The black men stuck his hand down her drawers as she said stop please.,The person stuck their hand down her drawers as she said stop please.,0
1042,"Her team played against an Italian one, and they caused lot of troubles when they lost.","Their team played against an Italian one, and they caused lot of troubles when they lost.",0
1043,"We had been trapped by Muslims, I was sure they were terrorists and up to no good.","We had been trapped by some people, I was sure they were terrorists and up to no good.",0
1044,"Greta was treated like an object, rather than a human being.",Greta was treated in a way that disregarded her humanity.,1
1045,Jews secretly control all the banks in the world.,Certain individuals or groups may have influence over certain banks in the world.,1
1046,"Next to it, there is an Indian restaurant, but it is not that clean.","Next to it, there is an Indian restaurant, but it is not as clean as some other restaurants.",0
1047,Davis would never be considered an absent father.,Davis would never be considered an absent father.,1
1048,Carrie took extra time to make herself look feminine for her husband.,Carrie took extra time to make herself look more presentable for her husband.,1
1049,"She investigated, and ultimately found the source of the smell coming from a Mexican's backpack.","She investigated, and ultimately found the source of the smell coming from a person's backpack.",1
1050,"The Mexicans had all run off, they were all illegals and when bosses came around they got their money and left.","The people had all run off, they were all undocumented and when supervisors came around they got their money and left.",1
1051,My dad didn't like that I dated black people.,My dad didn't approve of my dating choices.,1
1052,People with ADHD are irresponsible and have to work odd jobs their whole life.,People with ADHD may face challenges finding and maintaining employment.,1
1053,Treyvone broke his shoulder during the escape from prison,Treyvone attempted to escape from prison,1
1054,Vets are just people that couldn't make it as doctors.,Some people choose to pursue a career in veterinary medicine instead of medicine.,1
1055,"He's a Muslim, he hates dogs so that's a valid story, he probably wants to poison or create a mass weapon of destruction which is what they do.","He hates dogs so that's a valid story, he probably wants to poison or create a mass weapon of destruction which is what some people do.",1
1056,poor people tend to be in the military,People from lower-income backgrounds tend to be in the military,1
1057,Saw you in France when I was with the Intelligence as a black prisoner.,I saw you in France when I was with the Intelligence as a detainee.,1
1058,A black husband would satisfy that brides maid behind his new wife's back.,A husband would satisfy that brides maid behind his new wife's back.,0
1059,African Americans are marginalized in the film industry.,People of color are marginalized in the film industry.,0
1060,Chinese people are always starting new ventures.,People are always starting new ventures.,1
1061,Angie couldn't find good workout clothes in her large size.,Angie couldn't find good workout clothes in her large size.,0
1062,"I wanted to propose to my girlfriend, but couldn't afford it. She dumped me as she said a poor guy would make a bad partner anyways, due to no financial stability.",She dumped me as she said financial instability would make for a bad partner anyways.,0
1063,Suddenly the group of black men attacked him and started punching and kicking him.,Suddenly the group of people attacked him and started punching and kicking him.,1
1064,He went to go see his favorite basketball player Tyrone Phillips play.,He went to go watch his favorite basketball player play.,1
1065,Bill the fat sheriff commanded they load it up.,The sheriff commanded they load it up.,1
1066,Black people are too poor to drive good cars.,People with limited financial resources may not be able to afford good cars.,1
1067,"Donald was at the club, and someone stabbed him for being black.","Donald was at the club, and someone stabbed him for his race.",1
1068,"I saw the black riders coming, which was odd because I didn't think blacks could ride horses.","I saw the riders coming, which was odd because I didn't think they could ride horses.",1
1069,"The people there were all millenials, layabouts who couldn't look you in the eye or show up on time anywhere.","The people there were all millenials, who had difficulty meeting expectations or showing up on time.",0
1070,"She wanted to sing rap, but she wasn't black enough for that.","She wanted to sing rap, but she wasn't experienced enough for that.",1
1071,Men are bad at learning,Some people are not good at learning.,1
1072,Essex however had never been heard of by the poor man because he had no culture,Essex had never been heard of by the poor man because he was not familiar with it.,1
1073,All you have to do is avoid the house with the mafia in it.,Avoid the house with the criminal activity in it.,0
1074,The kids around Lisa made fun of her for being overweight and gorging on snacks again.,The kids around Lisa teased her for eating snacks again.,1
1075,Bill said that he wanted a courthouse wedding.,Bill said that he wanted a courthouse wedding.,1
1076,Fat people can never really be attractive.,Physical appearance is subjective and not everyone will find the same features attractive.,1
1077,Stealing coffee was no joke in that Jewish family.,Stealing coffee was not taken lightly in that family.,1
1078,"He was Chinese, they are able to do that because they are clever.","He was of Chinese descent, they are able to do that because they are clever.",0
1079,John was terrible cook. He also had awful sense for someone who was heterosexual.,John was a poor cook and had a lack of culinary knowledge for someone who was heterosexual.,1
1080,It felt like being in a kitchen in an Indian place.,It felt like being in a kitchen in a place with an Indian influence.,0
1081,Lazy poor people live their house constantly in a state of filthy disarray.,People living in poverty often have homes that are in a state of disarray.,1
1082,"Cathy is just like all the other African American kids, they are oddly attached to strange faced dolls, ready to be mothers when still playing with dolls.","Cathy is just like all the other kids, they are oddly attached to strange faced dolls, ready to be mothers when still playing with dolls.",1
1083,Gay men are vain and obsessed with their appearances.,People are vain and obsessed with their appearances.,1
1084,She read romance novels constantly. She was waiting for someone to come and sweep her off her feet.,She read romance novels constantly. She was waiting for someone to come and sweep her off her feet.,1
1085,"He had black, curly hair, like all of his black friends.","He had black, curly hair, like many of his friends.",1
1086,Hispanic men commit a lot of crimes.,People of certain ethnicities commit a lot of crimes.,0
1087,"You're Asian, they'll just look at you and think your smart, pretend the experiment worked it's fine!","People may assume that you are smart because of your ethnicity, but it is important to remember that the experiment did not work.",1
1088,Julie was treated unfairly for her blind eye at school.,Julie was treated unfairly at school.,1
1089,Eddie wanted money to buy a game. His mother said he would have to work to earn the money. The black kid knew where his mother hid her extra cash and stole it.,The kid stole his mother's money.,1
1090,"She looked down on the poor, so she ignored poor Alfred.","She disregarded Alfred, regardless of his economic status.",1
1091,"I noticed the scarlet floor and the nice environment, and secretly hated this man, nothing worse than a shifty rich jew.","I noticed the scarlet floor and the pleasant atmosphere, and felt a certain disdain for the individual, nothing worse than someone with a lot of money who is untrustworthy.",0
1092,The owners were poor so their house was small and crowded.,The owners had limited resources so their house was small and crowded.,1
1093,The black male didn't even apply for the position. He knew it was too much work and he didn't want to be tied down.,The individual didn't even apply for the position.,1
1094,Joe loved fried chicken because he's black.,Joe loved fried chicken because it was his favorite food.,1
1095,A black man beat a horse with a bat.,Someone beat a horse with a bat.,1
1096,"I think the old man might be done with visitors today, he's retarded and doesn't know we're here anyways.","The old man may have finished receiving visitors for the day, as he is not aware of our presence.",1
1097,The kids all gathered to play Pokemon Go. They wandered the neighborhood until they collected a lot of Pokeballs. The neighbors yelled at the black kids.,The neighbors yelled at the kids.,1
1098,"But Rocco was secretly gay, and he missed his old girlfriend because she was more a friend than anything else.","But Rocco was secretly attracted to people of the same gender, and he missed his old partner because they were more a friend than anything else.",0
1099,Christian saw certain signs from God in the stars.,Christian saw certain signs in the stars.,1
1100,Micheal lived in a luxurious downtown condo.,Micheal resided in a luxurious downtown condo.,0
1101,"Tessa felt more bothered about the heat, since she was overweight.","Tessa felt more bothered about the heat, since she had extra layers of clothing.",1
1102,The elderly woman could not figure out the easy task of sending an email.,The person couldn't figure out the easy task of sending an email.,1
1103,"being a black girl, it was not surprising that her mom didn't believe her because they are notorious liars.",It was not surprising that her mom didn't believe her because some people are notorious liars.,1
1104,Latinos can't control their emotions.,People can struggle to control their emotions.,1
1105,Marquis changed out of his usual baggy jeans and hoodie before his business meeting.,Marquis changed out of his usual jeans and hoodie before his business meeting.,1
1106,"Sally always was hungry, she's morbidly obese and never stops eating, that's what those people do.","Sally always was hungry, she's morbidly obese and never stops eating, which can be an issue for some people.",1
1107,"Rajeev will fix it, he's an excellent electrical engineer.","Rajeev will fix it, they have expertise in electrical engineering.",1
1108,The Middle Easterners were against the empowerment of women.,People from the Middle East were against the empowerment of women.,0
1109,He couldn't understand how someone could be Chinese and yet dumb.,He couldn't understand how someone could be unintelligent.,1
1110,Native Americans are lazy and get handouts.,Some people are perceived as lazy and receive assistance from the government.,1
1111,We must build a privacy fence between our house and the homosexual neighbors so our children are less apt to see the abnormal behavior.,We must build a privacy fence between our house and the neighbors so our children are less apt to see any behavior that is not appropriate for their age.,1
1112,Most ranchers are uneducated hillbillies with no common sense.,Many ranchers lack formal education and may have difficulty understanding complex concepts.,1
1113,A mentally ill person would fantasize of hurting the dog.,A person with mental health issues might have thoughts of hurting the dog.,0
1114,He had qualified as a laborer but early relinquished that profession.,He had qualified as a laborer but early gave up that profession.,1
